            mmlo_nopad_nowin  mmlo_filtered  mmlo_filtered_cut_a  \
0-2_years           1.005650       0.999439             0.999438   
2-3_years           2.282051       2.521246             2.521634   
3-4_years           3.708333       3.641571             3.641672   
4-6_years           5.393939       5.051078             5.052587   
6-10_years          8.476190       8.424042             8.428165   

            oeni_nopad_nowin  oeni_filtered  oeni_filtered_cut_a  
0-2_years           1.534091       1.477896             1.479031  
2-3_years           2.934783       2.478250             2.492288  
3-4_years           3.552632       3.602601             3.605477  
4-6_years           4.821429       4.891173             4.917012  
6-10_years          6.136364       6.499036             6.382406  
