            oeni_unfiltered  oeni_filtered  oeni_lowpass  oeni_highpass
1950-01-31        -1.395703       0.085444     -1.395784       0.050709
1950-02-28        -1.225713       0.156929     -1.277110       0.175780
1950-03-31        -1.125724       0.222312     -1.164724       0.230992
1950-04-30        -1.175734       0.276620     -1.063630       0.136376
1950-05-31        -1.125745       0.316766     -0.976946       0.141963
1950-06-30        -0.935756       0.342080     -0.905373       0.287781
1950-07-31        -0.655767       0.354478     -0.847026       0.523860
1950-08-31        -0.595777       0.358239     -0.797654       0.540229
1950-09-30        -0.555788       0.359427     -0.751225       0.536917
1950-10-31        -0.575799       0.365023     -0.700785       0.473952
1950-11-30        -0.665809       0.381915     -0.639476       0.341361
1950-12-31        -0.825820       0.415862     -0.561566       0.139172
1951-01-31        -0.855831       0.470588     -0.463359       0.067412
1951-02-28        -0.565840       0.547132     -0.343841       0.316108
1951-03-31        -0.215851       0.643536     -0.204997       0.625282
1951-04-30         0.134138       0.754916     -0.051737       0.934963
1951-05-31         0.174127       0.873903      0.108546       0.935172
1951-06-30         0.354117       0.991407      0.266739       1.075935
1951-07-31         0.434106       1.097595      0.412984       1.117274
1951-08-31         0.714095       1.182970      0.537761       1.359210
1951-09-30         0.774085       1.239417      0.632938       1.381767
1951-10-31         0.844074       1.261106      0.692661       1.414963
1951-11-30         0.724064       1.245138      0.714011       1.258819
1951-12-31         0.584053       1.191880      0.697337       1.083354
1952-01-31         0.444042       1.104964      0.646254       0.908586
1952-02-29         0.354032       0.990955      0.567309       0.784532
1952-03-31         0.384021       0.858745      0.469378       0.781208
1952-04-30         0.424011       0.718731      0.362843       0.788630
1952-05-31         0.334000       0.581876      0.258654       0.666812
1952-06-30         0.163990       0.458742      0.167359       0.465767
...                     ...            ...           ...            ...
2014-12-31         0.596035      -0.355374      0.247796      -0.035794
2015-01-31         0.536024      -0.282897      0.343322      -0.117163
2015-02-28         0.486014      -0.181257      0.466467      -0.186797
2015-03-31         0.526004      -0.049566      0.618026      -0.164604
2015-04-30         0.655993       0.109993      0.795723      -0.050492
2015-05-31         0.815982       0.291849      0.993903       0.095625
2015-06-30         0.945972       0.487036      1.203514       0.213830
2015-07-31         1.145961       0.683528      1.412449       0.404199
2015-08-31         1.395950       0.866936      1.606243       0.646806
2015-09-30         1.665940       1.021565      1.769130       0.911716
2015-10-31         1.935929       1.131746      1.885375       1.178990
2015-11-30         2.125919       1.183353      1.940793       1.368678
2015-12-31         2.255908       1.165367      1.924309       1.500827
2016-01-31         2.195897       1.071309      1.829399       1.445471
2016-02-29         1.965887       0.900392      1.655238       1.222640
2016-03-31         1.555876       0.658226      1.407403       0.822347
2016-04-30         1.055866       0.356951      1.098014       0.334601
2016-05-31         0.565855       0.014742      0.745233      -0.140603
2016-06-30         0.065845      -0.345334      0.372128      -0.623284
2016-07-31        -0.354166      -0.697025      0.004958      -1.023471
2016-08-31        -0.614177      -1.013040     -0.328964      -1.261209
2016-09-30        -0.774187      -1.267448     -0.603673      -1.396556
2016-10-31        -0.864198      -1.438069     -0.796942      -1.459588
2016-11-30        -0.864209      -1.508647     -0.892453      -1.430395
2016-12-31        -0.694219      -1.470544     -0.881492      -1.229086
2017-01-31        -0.444230      -1.323775     -0.763979      -0.945789
2017-02-28        -0.144240      -1.077253     -0.548722      -0.610650
2017-03-31         0.125749      -0.748203     -0.252814      -0.303839
2017-04-30         0.365739      -0.360768      0.099744      -0.025542
2017-05-31         0.455728       0.056042      0.480110       0.104027

[809 rows x 4 columns]
