            mmlo_unfiltered  mmlo_filtered  mmlo_lowpass  mmlo_highpass  \
1950-01-31              NaN            NaN           NaN            NaN   
1950-02-28              NaN            NaN           NaN            NaN   
1950-03-31              NaN            NaN           NaN            NaN   
1950-04-30              NaN            NaN           NaN            NaN   
1950-05-31              NaN            NaN           NaN            NaN   
1950-06-30              NaN            NaN           NaN            NaN   
1950-07-31              NaN            NaN           NaN            NaN   
1950-08-31              NaN            NaN           NaN            NaN   
1950-09-30              NaN            NaN           NaN            NaN   
1950-10-31              NaN            NaN           NaN            NaN   
1950-11-30              NaN            NaN           NaN            NaN   
1950-12-31              NaN            NaN           NaN            NaN   
1951-01-31              NaN            NaN           NaN            NaN   
1951-02-28              NaN            NaN           NaN            NaN   
1951-03-31              NaN            NaN           NaN            NaN   
1951-04-30              NaN            NaN           NaN            NaN   
1951-05-31              NaN            NaN           NaN            NaN   
1951-06-30              NaN            NaN           NaN            NaN   
1951-07-31              NaN            NaN           NaN            NaN   
1951-08-31              NaN            NaN           NaN            NaN   
1951-09-30              NaN            NaN           NaN            NaN   
1951-10-31              NaN            NaN           NaN            NaN   
1951-11-30              NaN            NaN           NaN            NaN   
1951-12-31              NaN            NaN           NaN            NaN   
1952-01-31              NaN            NaN           NaN            NaN   
1952-02-29              NaN            NaN           NaN            NaN   
1952-03-31              NaN            NaN           NaN            NaN   
1952-04-30              NaN            NaN           NaN            NaN   
1952-05-31              NaN            NaN           NaN            NaN   
1952-06-30              NaN            NaN           NaN            NaN   
...                     ...            ...           ...            ...   
2015-01-31         0.112796       0.054470     -0.043752       1.060676   
2015-02-28         0.242505      -0.129900     -0.166003       1.109999   
2015-03-31         1.314050      -0.322548     -0.292434       2.092847   
2015-04-30         2.871255      -0.503576     -0.403065       3.552895   
2015-05-31         3.362188      -0.652369     -0.477201       3.938080   
2015-06-30         2.019048      -0.750513     -0.496358       2.480492   
2015-07-31         0.339623      -0.784672     -0.447130       0.677838   
2015-08-31        -2.229983      -0.748985     -0.323598      -2.023836   
2015-09-30        -3.713645      -0.646620     -0.128875      -3.648434   
2015-10-31        -3.243864      -0.490157      0.124504      -3.328452   
2015-11-30        -1.557873      -0.300676      0.415498      -1.801090   
2015-12-31        -0.058194      -0.105566      0.716747      -0.468799   
2016-01-31         0.421807       0.064720      0.997817      -0.164836   
2016-02-29         1.763918       0.180582      1.229120       0.992735   
2016-03-31         2.363842       0.217365      1.386000       1.399807   
2016-04-30         4.769477       0.159055      1.452432       3.604516   
2016-05-31         4.858790       0.001059      1.423798       3.485110   
2016-06-30         3.784082      -0.248369      1.308319       2.194225   
2016-07-31         1.173039      -0.568316      1.126858      -0.640063   
2016-08-31        -1.158185      -0.927060      0.911076      -3.201156   
2016-09-30        -2.563412      -1.285407      0.700087      -4.842373   
2016-10-31        -2.215249      -1.601133      0.536024      -4.735753   
2016-11-30        -0.440821      -1.833970      0.459047      -3.207788   
2016-12-31         0.257244      -1.950516      0.502432      -2.760404   
2017-01-31         1.774619      -1.928427      0.688377      -1.497154   
2017-02-28         1.890463      -1.759344      1.025081      -1.638025   
2017-03-31         2.457734      -1.450168      1.505461      -1.329128   
2017-04-30         4.090799      -1.022513      2.107700       0.044917   
2017-05-31         4.547453      -0.510416      2.797537       0.243010   
2017-06-30         3.550172       0.043404      3.532007      -1.011180   

            oeni_unfiltered  oeni_filtered  oeni_lowpass  oeni_highpass  
1950-01-31        -1.395703       0.085444     -1.395784       0.050709  
1950-02-28        -1.225713       0.156929     -1.277110       0.175780  
1950-03-31        -1.125724       0.222312     -1.164724       0.230992  
1950-04-30        -1.175734       0.276620     -1.063630       0.136376  
1950-05-31        -1.125745       0.316766     -0.976946       0.141963  
1950-06-30        -0.935756       0.342080     -0.905373       0.287781  
1950-07-31        -0.655767       0.354478     -0.847026       0.523860  
1950-08-31        -0.595777       0.358239     -0.797654       0.540229  
1950-09-30        -0.555788       0.359427     -0.751225       0.536917  
1950-10-31        -0.575799       0.365023     -0.700785       0.473952  
1950-11-30        -0.665809       0.381915     -0.639476       0.341361  
1950-12-31        -0.825820       0.415862     -0.561566       0.139172  
1951-01-31        -0.855831       0.470588     -0.463359       0.067412  
1951-02-28        -0.565840       0.547132     -0.343841       0.316108  
1951-03-31        -0.215851       0.643536     -0.204997       0.625282  
1951-04-30         0.134138       0.754916     -0.051737       0.934963  
1951-05-31         0.174127       0.873903      0.108546       0.935172  
1951-06-30         0.354117       0.991407      0.266739       1.075935  
1951-07-31         0.434106       1.097595      0.412984       1.117274  
1951-08-31         0.714095       1.182970      0.537761       1.359210  
1951-09-30         0.774085       1.239417      0.632938       1.381767  
1951-10-31         0.844074       1.261106      0.692661       1.414963  
