            mmlo_data  mmlo_dec_date  mmlo_sea  mmlo_trend  mmlo_notrend
1958-03-31     315.71    1958.243836    314.62  314.438050      1.271950
1958-04-30     317.45    1958.326027    315.29  314.502831      2.947169
1958-05-31     317.50    1958.410959    314.71  314.569951      2.930049
1958-06-30     317.10    1958.493151    314.85  314.635079      2.464921
1958-07-31     315.86    1958.578082    314.98  314.702556      1.157444
1958-08-31     314.93    1958.663014    315.94  314.770215      0.159785
1958-09-30     313.20    1958.745205    315.91  314.835864     -1.635864
1958-10-31     312.66    1958.830137    315.61  314.903881     -2.243881
1958-11-30     313.33    1958.912329    315.31  314.969876     -1.639876
1958-12-31     314.67    1958.997260    315.61  315.038250     -0.368250
1959-01-31     315.62    1959.082192    315.70  315.106806      0.513194
1959-02-28     316.38    1959.158904    315.88  315.168883      1.211117
1959-03-31     316.71    1959.243836    315.62  315.237785      1.472215
1959-04-30     317.72    1959.326027    315.56  315.304637      2.415363
1959-05-31     318.29    1959.410959    315.50  315.373896      2.916104
1959-06-30     318.15    1959.493151    315.92  315.441094      2.708906
1959-07-31     316.54    1959.578082    315.66  315.510711      1.029289
1959-08-31     314.80    1959.663014    315.81  315.580509     -0.780509
1959-09-30     313.84    1959.745205    316.55  315.648229     -1.808229
1959-10-31     313.26    1959.830137    316.19  315.718385     -2.458385
1959-11-30     314.80    1959.912329    316.78  315.786451     -0.986451
1959-12-31     315.58    1959.997260    316.52  315.856964     -0.276964
1960-01-31     316.43    1960.081967    316.51  315.927472      0.502528
1960-02-29     316.97    1960.161202    316.47  315.993589      0.976411
1960-03-31     317.58    1960.245902    316.49  316.064440      1.515560
1960-04-30     319.02    1960.327869    316.86  316.133178      2.886822
1960-05-31     320.03    1960.412568    317.24  316.204386      3.825614
1960-06-30     319.59    1960.494536    317.36  316.273468      3.316532
1960-07-31     318.18    1960.579235    317.30  316.345031      1.834969
1960-08-31     315.91    1960.663934    316.92  316.416774     -0.506774
...               ...            ...       ...         ...           ...
2015-01-31     399.98    2015.082192    399.75  399.867204      0.112796
2015-02-28     400.28    2015.158904    399.47  400.037495      0.242505
2015-03-31     401.54    2015.243721    399.98  400.225950      1.314050
2015-04-30     403.28    2015.325913    400.39  400.408745      2.871255
2015-05-31     403.96    2015.410845    400.57  400.597812      3.362188
2015-06-30     402.80    2015.493037    400.53  400.780952      2.019048
2015-07-31     401.31    2015.577968    400.92  400.970377      0.339623
2015-08-31     398.93    2015.662900    400.77  401.159983     -2.229983
2015-09-30     397.63    2015.745091    401.15  401.343645     -3.713645
2015-10-31     398.29    2015.830137    401.65  401.533864     -3.243864
2015-11-30     400.16    2015.912329    402.21  401.717873     -1.557873
2015-12-31     401.85    2015.997260    402.62  401.908194     -0.058194
2016-01-31     402.52    2016.081967    402.30  402.098193      0.421807
2016-02-29     404.04    2016.161202    403.23  402.276082      1.763918
2016-03-31     404.83    2016.245788    403.26  402.466158      2.363842
2016-04-30     407.42    2016.327755    404.53  402.650523      4.769477
2016-05-31     407.70    2016.412454    404.32  402.841210      4.858790
2016-06-30     406.81    2016.494422    404.54  403.025918      3.784082
2016-07-31     404.39    2016.579121    404.00  403.216961      1.173039
2016-08-31     402.25    2016.663821    404.10  403.408185     -1.158185
2016-09-30     401.03    2016.745788    404.54  403.593412     -2.563412
2016-10-31     401.57    2016.830601    404.93  403.785249     -2.215249
2016-11-30     403.53    2016.912568    405.58  403.970821     -0.440821
2016-12-31     404.42    2016.997268    405.19  404.162756      0.257244
2017-01-31     406.13    2017.082192    405.90  404.355381      1.774619
2017-02-28     406.42    2017.158904    405.61  404.529537      1.890463
2017-03-31     407.18    2017.243721    405.61  404.722266      2.457734
2017-04-30     409.00    2017.325913    406.11  404.909201      4.090799
2017-05-31     409.65    2017.410845    406.26  405.102547      4.547453
2017-06-30     408.84    2017.493037    406.56  405.289828      3.550172

[712 rows x 5 columns]
